  series           line    ours   close   won   ourBr   mktBr
  f5 total          1.5   0.892   0.840  True   0.012   0.026
  f5 total          0.5   0.945   0.940  True   0.003   0.004
  game total        4.5   0.825   0.800  True   0.031   0.040
  game total        3.5   0.892   0.870  True   0.012   0.017
  game total        2.5   0.950   0.940  True   0.003   0.004
  game total        1.5   0.975   0.980  True   0.001   0.000
  game total       11.5   0.185   0.150 False   0.034   0.022
  game total       10.5   0.263   0.220 False   0.069   0.048
  game total        9.5   0.330   0.280  True   0.449   0.518
  game total        8.5   0.525   0.440  True   0.226   0.314
  game total        7.5   0.642   0.540  True   0.128   0.212
  game total        6.5   0.743   0.650  True   0.066   0.122
  game total        5.5   0.802   0.740  True   0.039   0.068
  game total        4.5   0.877   0.840  True   0.015   0.026
  game total        3.5   0.935   0.900  True   0.004   0.010
  game total       13.5   0.135   0.120  True   0.748   0.774
  game total       12.5   0.210   0.170  True   0.624   0.689
  game total       11.5   0.237   0.210  True   0.581   0.624
  game total       10.5   0.318   0.290  True   0.466   0.504
  game total        9.5   0.407   0.350  True   0.351   0.423
  game total        8.5   0.492   0.420 False   0.243   0.176
  game total        7.5   0.532   0.510 False   0.284   0.260
  game total        6.5   0.642   0.640 False   0.413   0.410
  game total        5.5   0.725   0.720 False   0.526   0.518
  game total        4.5   0.835   0.820 False   0.697   0.672
  game total        3.5   0.897   0.890  True   0.011   0.012
  game total        2.5   0.963   0.950  True   0.001   0.003
  game total       12.5   0.180   0.150 False   0.032   0.022
  game total       11.5   0.223   0.180 False   0.050   0.032
  game total       10.5   0.310   0.280 False   0.096   0.078
  game total        9.5   0.390   0.330 False   0.152   0.109
  game total        8.5   0.352   0.370 False   0.124   0.137
  game total        7.5   0.460   0.450 False   0.212   0.203
  game total        6.5   0.568   0.580 False   0.322   0.336
  game total        5.5   0.670   0.680 False   0.449   0.462
  game total        4.5   0.818   0.810 False   0.668   0.656
  game total        3.5   0.882   0.870 False   0.779   0.757
  game total        2.5   0.955   0.940 False   0.912   0.884
  game total       11.5   0.145   0.160 False   0.021   0.026
  game total       10.5   0.200   0.220 False   0.040   0.048
  game total        9.5   0.270   0.270 False   0.073   0.073
  game total        8.5   0.490   0.450 False   0.240   0.203
  game total        6.5   0.682   0.660 False   0.466   0.436
  game total        4.5   0.830   0.850  True   0.029   0.023
  game total        3.5   0.895   0.900  True   0.011   0.010
